MAKE,MODEL,MODEL_YR,BLIND_SPOT_DETECTION,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING
JEEP,COMPASS,2022,Optional,Standard,Optional
JEEP,COMPASS,2022,Optional,Standard,Optional
JEEP,GLADIATOR,2022,Optional,Optional,None
JEEP,GLADIATOR DIESEL,2022,Optional,Optional,None
JEEP,GRAND CHEROKEE,2022,Standard,Standard,Standard
JEEP,GRAND CHEROKEE,2022,Standard,Standard,Standard
JEEP,GRAND CHEROKEE L,2022,Standard,Standard,Standard
JEEP,GRAND CHEROKEE L,2022,Standard,Standard,Standard
JEEP,GRAND CHEROKEE PHEV,2022,Standard,Standard,Standard
JEEP,GRAND CHEROKEE WK,2022,Standard,Standard,Optional
JEEP,GRAND CHEROKEE WK,2022,Standard,Standard,Optional
JEEP,GRAND WAGONEER,2022,Standard,Standard,Standard
JEEP,GRAND WAGONEER,2022,Standard,Standard,Standard
JEEP,RENEGADE,2022,Optional,Optional,Optional
JEEP,RENEGADE,2022,Optional,Optional,Optional
JEEP,WAGONEER,2022,Standard,Standard,Standard
JEEP,WAGONEER,2022,Standard,Standard,Standard
JEEP,WRANGLER,2022,Optional,Optional,None
JEEP,WRANGLER UNLIMITED,2022,Optional,Optional,None
JEEP,WRANGLER UNLIMITED 392,2022,Optional,Optional,None
JEEP,WRANGLER UNLIMITED DIESEL,2022,Optional,Optional,None
JEEP,WRANGLER UNLIMITED PHEV,2022,Optional,Optional,None
JEEP,WRANGLER UNLIMITED RHD,2022,Optional,Optional,None
KIA,CARNIVAL,2022,Standard,Standard,Standard
KIA,EV6,2022,Standard,Standard,Standard
KIA,EV6,2022,Standard,Standard,Standard
KIA,FORTE,2022,Optional,Standard,Standard
KIA,K5,2022,Optional,Standard,Standard
KIA,NIRO ELECTRIC,2022,Standard,Standard,Standard
KIA,NIRO HYBRID,2022,Optional,Optional,Optional
KIA,NIRO PHEV,2022,Standard,Standard,Standard
KIA,RIO,2022,None,Optional,Optional
KIA,RIO,2022,None,Optional,Optional
KIA,SELTOS,2022,Optional,Optional,Optional
KIA,SELTOS,2022,Optional,Optional,Optional
KIA,SORENTO,2022,Optional,Standard,Standard
KIA,SORENTO,2022,Optional,Standard,Standard
KIA,SORENTO HYBRID,2022,Standard,Standard,Standard
KIA,SORENTO HYBRID,2022,Standard,Standard,Standard
KIA,SORENTO PLUG-IN HYBRID,2022,Standard,Standard,Standard
KIA,SOUL,2022,Optional,Standard,Standard
KIA,SPORTAGE,2022,Optional,Standard,Standard
KIA,SPORTAGE,2022,Optional,Standard,Standard
KIA,STINGER,2022,Standard,Standard,Standard
KIA,STINGER,2022,Standard,Standard,Standard
KIA,TELLURIDE,2022,Standard,Standard,Standard
KIA,TELLURIDE,2022,Standard,Standard,Standard
LAND ROVER,DEFENDER 110,2022,Standard,Standard,Standard
LAND ROVER,DEFENDER 90,2022,Standard,Standard,Standard
LAND ROVER,DISCOVERY,2022,Standard,Standard,Standard
LAND ROVER,DISCOVERY SPORT,2022,Standard,Standard,Standard
LAND ROVER,RANGE ROVER EVOQUE (5 DOOR),2022,Both,Standard,Standard
LAND ROVER,RANGE ROVER LWB,2022,Standard,Standard,Standard
LAND ROVER,RANGE ROVER SPORT,2022,Both,Standard,Standard
LAND ROVER,RANGE ROVER SWB,2022,Both,Standard,Standard
LAND ROVER,RANGE ROVER VELAR,2022,Standard,Standard,Standard
LEXUS,ES 250,2022,Standard,Standard,Standard
LEXUS,ES 300H,2022,Standard,Standard,Standard
LEXUS,ES 350,2022,Standard,Standard,Standard
LEXUS,GX 460,2022,Standard,Standard,Standard
LEXUS,IS 300,2022,Standard,Standard,Standard
LEXUS,IS 300,2022,Standard,Standard,Standard
LEXUS,IS 350,2022,Standard,Standard,Standard
LEXUS,IS 350,2022,Standard,Standard,Standard
LEXUS,IS 500,2022,Standard,Standard,Standard
LEXUS,LC 500,2022,Standard,Standard,Standard
LEXUS,LC 500,2022,Standard,Standard,Standard
LEXUS,LC 500H,2022,Standard,Standard,Standard
LEXUS,LS 500,2022,Optional,Standard,Standard
LEXUS,LS 500,2022,Optional,Standard,Standard
LEXUS,LS 500H,2022,Standard,Standard,Standard
LEXUS,LS 500H,2022,Standard,Standard,Standard
LEXUS,LX 600,2022,Standard,Standard,Standard
LEXUS,NX 250,2022,Standard,Standard,Standard
LEXUS,NX 250,2022,Standard,Standard,Standard
LEXUS,NX 350,2022,Standard,Standard,Standard
LEXUS,NX 350H,2022,Standard,Standard,Standard
LEXUS,NX 450H+,2022,Standard,Standard,Standard
LEXUS,RC 300,2022,Standard,Standard,Standard
LEXUS,RC 300,2022,Standard,Standard,Standard
LEXUS,RC 350,2022,Standard,Standard,Standard
LEXUS,RC 350,2022,Standard,Standard,Standard
LEXUS,RC F,2022,Standard,Standard,Standard
LEXUS,RX 350,2022,Optional,Standard,Standard
LEXUS,RX 350,2022,Optional,Standard,Standard
LEXUS,RX 350L,2022,Optional,Standard,Standard
LEXUS,RX 350L,2022,Optional,Standard,Standard
LEXUS,RX 450H,2022,Optional,Standard,Standard
LEXUS,RX 450HL,2022,Standard,Standard,Standard
LEXUS,UX 200,2022,Optional,Standard,Standard
LEXUS,UX 250H,2022,Optional,Standard,Standard
LINCOLN,AVIATOR,2022,Standard,Standard,Standard
LINCOLN,AVIATOR,2022,Standard,Standard,Standard
LINCOLN,AVIATOR PHEV,2022,Standard,Standard,Standard
LINCOLN,CORSAIR,2022,Standard,Standard,Standard
LINCOLN,CORSAIR,2022,Standard,Standard,Standard
LINCOLN,CORSAIR PHEV,2022,Standard,Standard,Standard
LINCOLN,NAUTILUS,2022,Standard,Standard,Standard
LINCOLN,NAUTILUS,2022,Standard,Standard,Standard
LINCOLN,NAVIGATOR,2022,Standard,Standard,Standard
LINCOLN,NAVIGATOR,2022,Standard,Standard,Standard
LINCOLN,NAVIGATOR EL,2022,Standard,Standard,Standard
LINCOLN,NAVIGATOR EL,2022,Standard,Standard,Standard
MAZDA,CX-30,2022,Optional,Standard,Standard
MAZDA,CX-30,2022,Optional,Standard,Standard
MAZDA,CX-5,2022,Standard,Standard,Standard
MAZDA,CX-5,2022,Standard,Standard,Standard
MAZDA,CX-9,2022,Standard,Standard,Standard
MAZDA,CX-9,2022,Standard,Standard,Standard
MAZDA,MAZDA3,2022,Optional,Standard,Standard
MAZDA,MAZDA3,2022,Optional,Standard,Standard
MAZDA,MAZDA3,2022,Optional,Standard,Standard
MAZDA,MAZDA3,2022,Optional,Standard,Standard
MAZDA,MX-30,2022,Standard,Standard,Standard
MAZDA,MX-5,2022,Standard,-,Standard
MERCEDES-BENZ,A-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,A-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,C-CLASS,2022,Optional,Standard,Standard
MERCEDES-BENZ,C-CLASS,2022,Optional,Standard,Standard
MERCEDES-BENZ,C-CLASS CABRIOLET,2022,Optional,Standard,Optional
MERCEDES-BENZ,C-CLASS CABRIOLET,2022,Optional,Standard,Optional
MERCEDES-BENZ,C-CLASS COUPE,2022,Optional,Standard,Optional
MERCEDES-BENZ,C-CLASS COUPE,2022,Optional,Standard,Optional
MERCEDES-BENZ,CLA-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,CLA-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,CLS-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,CLS-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS CABRIOLET,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS CABRIOLET,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS COUPE,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS COUPE,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS STATION WAGON,2022,Optional,Standard,Optional
MERCEDES-BENZ,E-CLASS STATION WAGON,2022,Optional,Standard,Optional
MERCEDES-BENZ,EQS,2022,Optional,Standard,Standard
MERCEDES-BENZ,EQS,2022,Optional,Standard,Standard
MERCEDES-BENZ,G-CLASS,2022,Optional,Standard,Standard
MERCEDES-BENZ,GLA-CLASS,2022,Optional,Standard,
MERCEDES-BENZ,GLA-CLASS,2022,Optional,Standard,
MERCEDES-BENZ,GLB-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLB-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLC-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLC-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLC-CLASS COUPE,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLC-CLASS COUPE,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLE-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLE-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,GLE-CLASS COUPE,2022,Optional,Standard,
MERCEDES-BENZ,GLS-CLASS,2022,Optional,Standard,Optional
MERCEDES-BENZ,GT CLASS 4DR,2022,Optional,Standard,Optional
MERCEDES-BENZ,MERCEDES-MAYBACH S-CLASS,2022,Standard,Standard,Standard
MERCEDES-BENZ,METRIS CARGO,2022, ,Standard,
MERCEDES-BENZ,METRIS PASSENGER,2022, ,Standard,
MERCEDES-BENZ,S-CLASS,2022,Standard,Standard,Standard
MERCEDES-BENZ,S-CLASS,2022,Standard,Standard,Standard
MERCEDES-BENZ,SL-CLASS,2022,Optional,,Optional
MERCEDES-BENZ,SL-CLASS,2022,Optional,,Optional
MERCEDES-BENZ,SPRINTER 1500 CARGO VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 1500 PASSENGER VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 12 PASSENGER VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 12 PASSENGER VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 15 PASSENGER VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN (LWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN (LWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN (SWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN (SWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CREW VAN (LWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CREW VAN (LWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CREW VAN (SWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 2500 CREW VAN (SWB),2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 3500 CARGO VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 3500 CREW VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 4500 CARGO VAN,2022, ,Standard,optional
MERCEDES-BENZ,SPRINTER 4500 CREW VAN,2022, ,Standard,optional
MINI,CLUBMAN,2022, ,,
MINI,CLUBMAN,2022, ,,
MINI,CONVERTIBLE,2022, ,,
MINI,COOPER SE,2022, ,,
MINI,COUNTRYMAN,2022, ,,
MINI,COUNTRYMAN,2022, ,,
MINI,COUNTRYMAN SE,2022, ,,
MINI,HARDTOP,2022, ,,
MINI,HARDTOP,2022, ,,
MITSUBISHI,ECLIPSE CROSS,2022,Optional,Standard,Standard
MITSUBISHI,ECLIPSE CROSS,2022,Optional,Standard,Standard
MITSUBISHI,MIRAGE,2022,None,Standard,Optional
MITSUBISHI,MIRAGE G4,2022,None,Standard,Optional
MITSUBISHI,OUTLANDER,2022,Standard,Standard,Standard
MITSUBISHI,OUTLANDER,2022,Standard,Standard,Standard
MITSUBISHI,OUTLANDER PHEV,2022,Optional,Standard,Standard
MITSUBISHI,OUTLANDER SPORT,2022,Optional,Standard,Standard
MITSUBISHI,OUTLANDER SPORT,2022,Optional,Standard,Standard
NISSAN,ALTIMA,2022,Optional,Standard,Standard
NISSAN,ALTIMA,2022,Optional,Standard,Standard
NISSAN,ARMADA,2022,Standard,Standard,Standard
NISSAN,ARMADA,2022,Standard,Standard,Standard
NISSAN,FRONTIER,2022,Optional,Standard,Optional
NISSAN,FRONTIER,2022,Optional,Standard,Optional
NISSAN,FRONTIER,2022,Optional,Standard,Optional
NISSAN,FRONTIER,2022,Optional,Standard,Optional
NISSAN,KICKS,2022,Standard,Standard,Standard
NISSAN,LEAF (40 KWH BATTERY),2022,Standard,Standard,Standard
NISSAN,LEAF PLUS (62 KWH BATTERY),2022,Standard,Standard,Standard
NISSAN,MAXIMA,2022,Standard,Standard,Standard
NISSAN,MURANO,2022,Standard,Standard,Standard
NISSAN,MURANO,2022,Standard,Standard,Standard
NISSAN,PATHFINDER,2022,TBD,TBD,TBD
NISSAN,PATHFINDER,2022,TBD,TBD,TBD
NISSAN,ROGUE,2022,Standard,Standard,Standard
NISSAN,ROGUE,2022,Standard,Standard,Standard
NISSAN,ROGUE,2022,Standard,Standard,Standard
NISSAN,ROGUE,2022,Standard,Standard,Standard
NISSAN,ROGUE SPORT,2022,Standard,Standard,Standard
NISSAN,ROGUE SPORT,2022,Standard,Standard,Standard
NISSAN,SENTRA,2022,Standard,Standard,Standard
NISSAN,TITAN CREW CAB,2022,Standard,Standard,Standard
NISSAN,TITAN CREW CAB,2022,Standard,Standard,Standard
NISSAN,TITAN KING CAB,2022,Standard,Standard,Standard
NISSAN,TITAN KING CAB,2022,Standard,Standard,Standard
NISSAN,TITAN XD CREW CAB,2022,Standard,Standard,Standard
NISSAN,VERSA,2022,Optional,Standard,Standard
POLESTAR,POLESTAR 2,2022,Standard,Standard,Standard
POLESTAR,POLESTAR 2,2022,Standard,Standard,Standard
PORSCHE,718 BOXSTER,2022,Optional,Optional,None
PORSCHE,718 BOXSTER GTS 4.0,2022,Optional,Optional,None
PORSCHE,718 BOXSTER S,2022,Optional,Optional,None
PORSCHE,718 BOXSTER T,2022,Optional,Optional,None
PORSCHE,718 CAYMAN,2022,Optional,Optional,None
PORSCHE,718 CAYMAN GT4,2022,Optional,Optional,None
PORSCHE,718 CAYMAN GTS 4.0,2022,Optional,Optional,None
PORSCHE,718 CAYMAN S,2022,Optional,Optional,None
PORSCHE,718 CAYMAN T,2022,Optional,Optional,None
PORSCHE,718 SPYDER,2022,Optional,Optional,None
PORSCHE,911 CARRERA,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA 4,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA 4 CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA 4 GTS,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA 4 GTS CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA 4S,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA 4S CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA GTS,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA GTS CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA S,2022,Optional,Standard,Optional
PORSCHE,911 CARRERA S CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,911 GT3,2022,N/A,Standard,None
PORSCHE,911 GT3 TOURING,2022,N/A,Standard,None
PORSCHE,911 TARGA 4,2022,Optional,Standard,Optional
PORSCHE,911 TARGA 4 GTS,2022,Optional,Standard,Optional
PORSCHE,911 TARGA 4S,2022,Optional,Standard,Optional
PORSCHE,911 TURBO,2022,Optional,Standard,Optional
PORSCHE,911 TURBO CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,911 TURBO S,2022,Optional,Standard,Optional
PORSCHE,911 TURBO S CABRIOLET,2022,Optional,Standard,Optional
PORSCHE,BOXSTER 25 YEARS,2022,Optional,Optional,None
PORSCHE,CAYENNE,2022,Optional,Standard,Optional
PORSCHE,CAYENNE COUPE,2022,Optional,Standard,Optional
PORSCHE,CAYENNE E-HYBRID,2022,Optional,Standard,Optional
PORSCHE,CAYENNE E-HYBRID COUPE,2022,Optional,Standard,Optional
PORSCHE,CAYENNE GTS,2022,Optional,Standard,Optional
PORSCHE,CAYENNE GTS COUPE,2022,Optional,Standard,Optional
PORSCHE,CAYENNE S,2022,Optional,Standard,Optional
PORSCHE,CAYENNE S COUPE,2022,Optional,Standard,Optional
PORSCHE,CAYENNE TURBO,2022,Optional,Standard,Optional
PORSCHE,CAYENNE TURBO COUPE,2022,Optional,Standard,Optional
PORSCHE,CAYENNE TURBO S E-HYBRID,2022,Optional,Standard,Optional
PORSCHE,CAYENNE TURBO S E-HYBRID COUPE,2022,Optional,Standard,Optional
PORSCHE,MACAN,2022,Optional,Optional,Optional
PORSCHE,MACAN GTS,2022,Optional,Optional,Optional
PORSCHE,MACAN S,2022,Optional,Optional,Optional
PORSCHE,PANAMERA,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4 E-HYBRID,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4 E-HYBRID EXECUTIVE,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4 E-HYBRID SPORT TURISMO,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4 EXECUTIVE,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4 SPORT TURISMO,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4S,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4S E-HYBRID,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4S E-HYBRID EXECUTIVE,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4S E-HYBRID SPORT TURISMO,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4S EXECUTIVE,2022,Optional,Optional,Optional
PORSCHE,PANAMERA 4S SPORT TURISMO,2022,Optional,Optional,Optional
PORSCHE,PANAMERA GTS,2022,Optional,Optional,Optional
PORSCHE,PANAMERA GTS SPORT TURISMO,2022,Optional,Optional,Optional
PORSCHE,PANAMERA TURBO S,2022,Optional,Optional,Optional
PORSCHE,PANAMERA TURBO S E-HYBRID,2022,Optional,Optional,Optional
PORSCHE,PANAMERA TURBO S E-HYBRID EXECUTIVE,2022,Optional,Optional,Optional
PORSCHE,PANAMERA TURBO S E-HYBRID SPORT TURISMO,2022,Optional,Optional,Optional
PORSCHE,PANAMERA TURBO S EXECUTIVE,2022,Optional,Optional,Optional
PORSCHE,PANAMERA TURBO S SPORT TURISMO,2022,Optional,Optional,Optional
PORSCHE,TAYCAN,2022,Standard,Standard,Standard
PORSCHE,TAYCAN 4 CROSS TURISMO,2022,Standard,Standard,Standard
PORSCHE,TAYCAN 4S,2022,Standard,Standard,Standard
PORSCHE,TAYCAN 4S CROSS TURISMO,2022,Standard,Standard,Standard
PORSCHE,TAYCAN TURBO,2022,Standard,Standard,Standard
PORSCHE,TAYCAN TURBO CROSS TURISMO,2022,Standard,Standard,Standard
PORSCHE,TAYCAN TURBO S,2022,Standard,Standard,Standard
PORSCHE,TAYCAN TURBO S CROSS TURISMO,2022,Standard,Standard,Standard
RAM,1500 CLASSIC CREW CAB,2022,Optional,None,None
RAM,1500 CLASSIC CREW CAB,2022,Optional,None,None
RAM,1500 CLASSIC QUAD CAB,2022,Optional,None,None
RAM,1500 CLASSIC QUAD CAB,2022,Optional,None,None
RAM,1500 CLASSIC REGULAR CAB,2022,Optional,None,None
RAM,1500 CLASSIC REGULAR CAB,2022,Optional,None,None
RAM,1500 CREW CAB,2022,Optional,Optional,Optional
RAM,1500 CREW CAB,2022,Optional,Optional,Optional
RAM,1500 CREW CAB TRX,2022,Optional,Optional,Optional
RAM,1500 QUAD CAB,2022,Optional,Optional,Optional
RAM,1500 QUAD CAB,2022,Optional,Optional,Optional
RAM,2500 CREW CAB,2022,Optional,Optional,Optional
RAM,2500 CREW CAB,2022,Optional,Optional,Optional
RAM,2500 MEGA CAB,2022,Optional,Optional,Optional
RAM,2500 REGULAR CAB,2022,Optional,Optional,Optional
RAM,2500 REGULAR CAB,2022,Optional,Optional,Optional
RAM,PROMASTER,2022,Optional,Standard,None
RAM,PROMASTER CITY,2022,None,None,None
ROLLS-ROYCE,CULLINAN,2022, ,,
ROLLS-ROYCE,GHOST,2022, ,,
ROLLS-ROYCE,GHOST EWB,2022, ,,
ROLLS-ROYCE,PHANTOM,2022, ,,
ROLLS-ROYCE,PHANTOM EWB,2022, ,,
SUBARU,ASCENT,2022,Optional,Standard,Standard
SUBARU,BRZ,2022,Optional,Optional,Optional
SUBARU,CROSSTREK,2022,Optional,Optional,Optional
SUBARU,CROSSTREK HYBRID,2022,Standard,Standard,Standard
SUBARU,FORESTER,2022,Optional,Standard,Standard
SUBARU,IMPREZA,2022,Optional,Optional,Optional
SUBARU,IMPREZA,2022,Optional,Optional,Optional
SUBARU,LEGACY,2022,Optional,Standard,Standard
SUBARU,OUTBACK,2022,Optional,Standard,Standard
SUBARU,WRX,2022,Optional,Optional,Optional
TESLA,MODEL 3,2022,Standard,Standard,Standard
TESLA,MODEL 3,2022,Standard,Standard,Standard
TESLA,MODEL S (ALL VARIANTS),2022,Standard,Standard,Standard
TESLA,MODEL X (ALL VARIANTS),2022,Standard,Standard,Standard
TESLA,MODEL Y  5-SEAT,2022,Standard,Standard,Standard
TESLA,MODEL Y 7-SEAT,2022,Standard,Standard,Standard
TOYOTA,4RUNNER,2022,None,Standard,Standard
TOYOTA,4RUNNER,2022,None,Standard,Standard
TOYOTA,AVALON,2022,Standard,Standard,Standard
TOYOTA,AVALON HYBRID,2022,Standard,Standard,Standard
TOYOTA,C-HR,2022,Optional,Standard,Standard
TOYOTA,CAMRY,2022,Optional/ Standard,Standard,Standard
TOYOTA,CAMRY,2022,Optional/ Standard,Standard,Standard
TOYOTA,CAMRY HYBRID,2022,Optional/ Standard,Standard,Standard
TOYOTA,COROLLA,2022,Optional,Standard,Standard
TOYOTA,COROLLA CROSS,2022,Standard,Standard,Standard
TOYOTA,COROLLA CROSS,2022,Standard,Standard,Standard
TOYOTA,COROLLA HATCHBACK,2022,Optional,Standard,Standard
TOYOTA,COROLLA HYBRID,2022,Optional,Standard,Standard
TOYOTA,GR86,2022,Optional,Optional,Optional
TOYOTA,HIGHLANDER,2022,Standard/ None,Standard,Standard
TOYOTA,HIGHLANDER,2022,Standard/ None,Standard,Standard
TOYOTA,HIGHLANDER HYBRID,2022,Standard,Standard,Standard
TOYOTA,HIGHLANDER HYBRID,2022,Standard,Standard,Standard
TOYOTA,MIRAI,2022,Standard,Standard,Standard
TOYOTA,PRIUS,2022,Optional,Standard,Standard
TOYOTA,PRIUS,2022,Optional,Standard,Standard
TOYOTA,PRIUS PRIME,2022,Optional,Standard,Standard
TOYOTA,RAV4,2022,Optional,Standard,Standard
TOYOTA,RAV4,2022,Optional,Standard,Standard
TOYOTA,RAV4 HYBRID,2022,Optional,Standard,Standard
TOYOTA,RAV4 PRIME,2022,Standard,Standard,Standard
TOYOTA,SEQUOIA,2022,Standard,Standard,Standard
TOYOTA,SEQUOIA,2022,Standard,Standard,Standard
TOYOTA,SIENNA HYBRID,2022,Standard,Standard,Standard
TOYOTA,SIENNA HYBRID,2022,Standard,Standard,Standard
TOYOTA,SUPRA,2022, ,,
TOYOTA,TACOMA,2022,Optional,Standard,Standard
TOYOTA,TACOMA,2022,Optional,Standard,Standard
TOYOTA,TACOMA,2022,Optional,Standard,Standard
TOYOTA,TACOMA,2022,Optional,Standard,Standard
TOYOTA,TUNDRA,2022,Optional,Standard,Standard
TOYOTA,TUNDRA,2022,Optional,Standard,Standard
TOYOTA,TUNDRA,2022,Optional,Standard,Standard
TOYOTA,TUNDRA,2022,Optional,Standard,Standard
TOYOTA,TUNDRA HYBRID,2022,Standard,Standard,Standard
TOYOTA,TUNDRA HYBRID,2022,Standard,Standard,Standard
TOYOTA,VENZA HYBRID,2022,Standard,Standard,Standard
VOLKSWAGEN,ARTEON SE,2022,Standard,Standard,None
VOLKSWAGEN,ARTEON SEL PREMIUM R-LINE,2022,Standard,Standard,Standard
VOLKSWAGEN,ARTEON SEL PREMIUM R-LINE,2022,Standard,Standard,Standard
VOLKSWAGEN,ARTEON SEL R-LINE,2022,Standard,Standard,Standard
VOLKSWAGEN,ARTEON SEL R-LINE,2022,Standard,Standard,Standard
VOLKSWAGEN,ATLAS,2022,Standard,Standard,Optional
VOLKSWAGEN,ATLAS,2022,Standard,Standard,Optional
VOLKSWAGEN,ATLAS CROSS SPORT,2022,Standard,Standard,Optional
VOLKSWAGEN,ATLAS CROSS SPORT,2022,Standard,Standard,Optional
VOLKSWAGEN,GOLF GTI,2022,Standard,Standard,Standard
VOLKSWAGEN,GOLF R,2022,Standard,Standard,Standard
VOLKSWAGEN,ID.4,2022,Standard,Standard,Standard
VOLKSWAGEN,ID.4,2022,Standard,Standard,Standard
VOLKSWAGEN,JETTA,2022,Standard,Standard,Optional
VOLKSWAGEN,JETTA GLI,2022,Standard,Standard,Standard
VOLKSWAGEN,PASSAT,2022,Standard,Standard,Standard
VOLKSWAGEN,TAOS,2022,Optional,Optional,Optional
VOLKSWAGEN,TAOS,2022,Optional,Optional,Optional
VOLKSWAGEN,TIGUAN,2022,Standard,Standard,Optional
VOLKSWAGEN,TIGUAN,2022,Standard,Standard,Optional
VOLVO,C40 P8 RECHARGE,2022,Standard,Standard,Standard
VOLVO,S60 B5 AWD,2022,Standard,Standard,Standard
VOLVO,S60 B5 FWD,2022,Standard,Standard,Standard
VOLVO,S60 T6 AWD,2022,Standard,Standard,Standard
VOLVO,S60 T8 POLESTAR ENGINEERED,2022,Standard,Standard,Standard
VOLVO,S60 T8 RECHARGE,2022,Standard,Standard,Standard
VOLVO,S90 B6 AWD,2022,Standard,Standard,Standard
VOLVO,S90 T8 RECHARGE,2022,Standard,Standard,Standard
VOLVO,V60 CC T5 AWD,2022,Standard,Standard,Standard
VOLVO,V60 T8 POLESTAR ENGINEERED,2022,Standard,Standard,Standard
VOLVO,V90 CC B6 AWD,2022,Standard,Standard,Standard
VOLVO,XC40 P8 RECHARGE AWD,2022,Standard,Standard,Standard
VOLVO,XC40 T4 FWD,2022,Standard,Standard,Standard
VOLVO,XC40 T5 AWD,2022,Standard,Standard,Standard
VOLVO,XC60 B5 AWD,2022,Standard,Standard,Standard
VOLVO,XC60 B5 FWD,2022,Standard,Standard,Standard
VOLVO,XC60 B6 AWD,2022,Standard,Standard,Standard
VOLVO,XC60 T8 POLESTAR ENGINEERED,2022,Standard,Standard,Standard
VOLVO,XC60 T8 RECHARGE,2022,Standard,Standard,Standard
VOLVO,XC90 T5 AWD,2022,Standard,Standard,Standard
VOLVO,XC90 T5 FWD,2022,Standard,Standard,Standard
VOLVO,XC90 T6 AWD,2022,Standard,Standard,Standard
VOLVO,XC90 T8 RECHARGE,2022,Standard,Standard,Standard
ACURA,ILX,2021,Optional,Standard,Standard
ACURA,NSX,2021,None,N/A,N/A
ACURA,RDX,2021,Optional,Standard,Standard
ACURA,RDX,2021,Optional,Standard,Standard
ACURA,TLX,2021,Optional,Standard,Standard
ACURA,TLX,2021,Optional,Standard,Standard
ALFA,GIULIA,2021,Optional,Optional,Optional
ALFA,GIULIA,2021,Optional,Optional,Optional
ALFA,GIULIA QUADRIFOGLIO,2021,Standard,Optional,Optional
ALFA,STELVIO,2021,Optional,Optional,Optional
ALFA,STELVIO,2021,Optional,Optional,Optional
ALFA,STELVIO QUADRIFOGLIO,2021,Standard,Optional,Optional
